output_prefix	name	motif_id	cluster	total_tfbs	WT_mean_score	WT_bound	KI_mean_score	KI_bound	WT_KI_change	WT_KI_pvalue
CDX2_MA0465.1	CDX2	MA0465.1	C_HOXA10	15554	0.22338	964	0.2225	949	0.02089	1.60782E-47
THAP1_MA0597.1	THAP1	MA0597.1	C_THAP1	20143	0.35528	3125	0.35613	3185	-0.02656	5.59903E-63
ASCL1_MA1100.1	ASCL1	MA1100.1	C_Myod1	36472	0.36605	6149	0.36363	6182	0.0224	1.64717E-61
GLIS2_MA0736.1	GLIS2	MA0736.1	C_GLIS2	9369	0.41085	1839	0.39845	1760	0.08126	3.65775E-92
JDP2_MA0655.1	JDP2	MA0655.1	C_FOSL1::JUN	22765	0.35872	3735	0.3759	4114	-0.14958	1.71119E-135
MSX1_MA0666.1	MSX1	MA0666.1	C_Dlx3	7356	0.28634	710	0.28427	696	0.02346	2.07405E-42
ZIC4_MA0751.1	ZIC4	MA0751.1	C_ZIC4	15297	0.45137	3537	0.44294	3411	0.0638	3.68793E-87
JUNBvar.2_MA1140.1	JUNB(var.2)	MA1140.1	C_FOSL2::JUND(var.2)	8284	0.4785	1969	0.48064	2017	-0.04209	2.07075E-61
TBX20_MA0689.1	TBX20	MA0689.1	C_TBX21	13898	0.26059	1214	0.26451	1294	-0.05064	4.44484E-82
PBX3_MA1114.1	PBX3	MA1114.1	C_PBX3	26589	0.3484	3648	0.35338	3883	-0.06268	8.36031E-106
PAX1_MA0779.1	PAX1	MA0779.1	C_PAX9	6121	0.3737	1016	0.37251	1023	0.00415	6.81559E-05
POU2F2_MA0507.1	POU2F2	MA0507.1	C_POU5F1	17132	0.22707	1089	0.22684	1096	0.00488	1.29806E-06
PRDM1_MA0508.2	PRDM1	MA0508.2	C_PRDM1	24178	0.27569	2379	0.277	2444	-0.01068	1.97361E-28
FOXK1_MA0852.2	FOXK1	MA0852.2	C_FOXP3	21440	0.2577	1830	0.25848	1897	-0.00423	6.37656E-10
EGR3_MA0732.1	EGR3	MA0732.1	C_EGR3	19313	0.57197	6029	0.5601	5957	0.04515	3.04092E-87
PAX7_MA0680.1	PAX7	MA0680.1	C_PAX3	4706	0.20404	219	0.199	216	0.07525	1.82908E-70
KLF13_MA0657.1	KLF13	MA0657.1	C_KLF13	14582	0.57764	4315	0.57703	4350	-0.03741	1.07748E-68
LMX1A_MA0702.1	LMX1A	MA0702.1	C_HOXB3	6384	0.19903	304	0.19256	284	0.09934	5.28981E-89
OLIG3_MA0827.1	OLIG3	MA0827.1	C_Atoh1	5779	0.23489	392	0.23425	399	0.00658	8.69093E-06
CEBPD_MA0836.1	CEBPD	MA0836.1	C_CEBPE	5187	0.337	744	0.34248	771	-0.06036	8.84854E-65
NFIL3_MA0025.1	NFIL3	MA0025.1	C_NFIL3	8446	0.28416	889	0.2865	925	-0.01876	5.25247E-31
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	25286	0.39823	4784	0.39177	4713	0.03915	5.19038E-89
Atoh1_MA0461.2	Atoh1	MA0461.2	C_Atoh1	7220	0.25265	565	0.24943	559	0.03719	2.19876E-54
Myod1_MA0499.1	Myod1	MA0499.1	C_Myod1	32960	0.33708	4789	0.33518	4797	0.02348	8.11141E-65
ZBTB7C_MA0695.1	ZBTB7C	MA0695.1	C_ZBTB7B	9127	0.38247	1637	0.37718	1616	0.02822	8.86523E-51
FOSL1_MA0477.1	FOSL1	MA0477.1	C_FOSL1::JUN	32897	0.38166	5976	0.40184	6570	-0.16998	2.64331E-144
NEUROD1_MA1109.1	NEUROD1	MA1109.1	C_NEUROD1	26812	0.3031	3123	0.30214	3169	0.02084	1.58560E-53
FOSJUNB_MA1134.1	FOS::JUNB	MA1134.1	C_FOSL1::JUN	28807	0.37983	5195	0.39963	5716	-0.16614	5.26921E-144
NKX3-2_MA0122.2	NKX3-2	MA0122.2	C_ISL2	11368	0.2618	967	0.26376	1015	-0.02297	2.46782E-51
MIXL1_MA0662.1	MIXL1	MA0662.1	C_GSX2	7919	0.24013	540	0.23446	527	0.07283	1.87656E-84
PAX3_MA0780.1	PAX3	MA0780.1	C_PAX3	4372	0.20683	215	0.20235	209	0.0649	5.53466E-67
NEUROD2_MA0668.1	NEUROD2	MA0668.1	C_Atoh1	3992	0.24657	302	0.24766	307	-0.02289	2.37575E-25
Alx1_MA0854.1	Alx1	MA0854.1	C_Alx1	6809	0.22795	398	0.22212	384	0.07842	4.52105E-82
JUND_MA0491.1	JUND	MA0491.1	C_FOSL1::JUN	31483	0.37996	5650	0.39958	6238	-0.16382	2.23371E-153
HIF1A_MA1106.1	HIF1A	MA1106.1	C_HIF1A	4438	0.42163	900	0.41828	901	0.01613	9.24181E-19
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	14384	0.29959	1665	0.30047	1670	-0.01672	3.54752E-33
SMAD2SMAD3SMAD4_MA0513.1	SMAD2::SMAD3::SMAD4	MA0513.1	C_SMAD2::SMAD3::SMAD4	30683	0.30968	3724	0.31342	3877	-0.04481	6.64253E-91
SOX13_MA1120.1	SOX13	MA1120.1	C_SOX9	15116	0.25803	1287	0.25362	1264	0.05734	2.19473E-86
POU4F3_MA0791.1	POU4F3	MA0791.1	C_POU4F2	14244	0.19624	651	0.19426	644	0.03954	7.37844E-69
NR2F1_MA0017.2	NR2F1	MA0017.2	C_NR2F1	18494	0.27903	1839	0.28354	1928	-0.05538	9.97072E-92
Rargvar.2_MA0860.1	Rarg(var.2)	MA0860.1	C_Rarg(var.2)	17704	0.29667	2006	0.29893	2071	-0.0198	2.59910E-43
MYBL2_MA0777.1	MYBL2	MA0777.1	C_MYBL2	2780	0.29306	296	0.29373	294	-0.01127	1.44005E-04
EGR4_MA0733.1	EGR4	MA0733.1	C_EGR3	17823	0.49229	4504	0.48515	4480	0.01863	1.25582E-48
VSX1_MA0725.1	VSX1	MA0725.1	C_HOXB3	8162	0.20597	405	0.20112	396	0.07604	7.87632E-82
KLF5_MA0599.1	KLF5	MA0599.1	C_KLF5	68742	0.53086	19134	0.52763	19249	-0.01647	5.21960E-71
Foxj2_MA0614.1	Foxj2	MA0614.1	C_FOXP3	12392	0.23786	894	0.23803	918	-0.00136	1.23205E-01
Sox6_MA0515.1	Sox6	MA0515.1	C_SOX15	27024	0.25562	2295	0.25034	2257	0.07266	6.21736E-108
RFX2_MA0600.2	RFX2	MA0600.2	C_RFX2	9569	0.39347	1753	0.39937	1820	-0.08208	1.76849E-94
Foxq1_MA0040.1	Foxq1	MA0040.1	C_Foxq1	18562	0.22688	1203	0.22614	1222	0.00802	3.29498E-20
SOX10_MA0442.2	SOX10	MA0442.2	C_SOX10	29717	0.2593	2559	0.2561	2575	0.04061	3.39298E-86
DUXA_MA0884.1	DUXA	MA0884.1	C_DUXA	10960	0.26286	968	0.26182	955	0.02478	3.71209E-41
Zfx_MA0146.2	Zfx	MA0146.2	C_Zfx	29384	0.5002	7767	0.49383	7766	0.01603	9.07424E-49
HOXA13_MA0650.1	HOXA13	MA0650.1	C_HOXD13	16336	0.23245	1093	0.23133	1081	0.01459	9.48672E-36
LMX1B_MA0703.1	LMX1B	MA0703.1	C_HOXB3	7457	0.20208	374	0.19672	358	0.08711	1.08653E-88
TFE3_MA0831.2	TFE3	MA0831.2	C_USF2	10504	0.40665	1976	0.41236	2007	-0.07683	2.53632E-89
Lhx8_MA0705.1	Lhx8	MA0705.1	C_GSX2	5739	0.27772	519	0.27594	526	0.03167	1.42766E-42
Sox17_MA0078.1	Sox17	MA0078.1	C_Sox17	12342	0.25945	1061	0.25785	1056	0.02328	1.00806E-44
HINFP_MA0131.2	HINFP	MA0131.2	C_HINFP	6807	0.59463	2285	0.5729	2218	0.13919	7.38564E-114
Sox1_MA0870.1	Sox1	MA0870.1	C_SOX4	11232	0.24625	833	0.24555	852	0.01343	1.46743E-28
NFATC2_MA0152.1	NFATC2	MA0152.1	C_NFAT5	23079	0.28442	2561	0.28885	2698	-0.03095	1.14207E-70
KLF14_MA0740.1	KLF14	MA0740.1	C_SP4	26701	0.70287	10394	0.69547	10408	-0.0039	3.86044E-09
JUNJUNBvar.2_MA1133.1	JUN::JUNB(var.2)	MA1133.1	C_FOSL2::JUND(var.2)	12727	0.44407	2691	0.44719	2769	-0.04027	2.07357E-68
ELK3_MA0759.1	ELK3	MA0759.1	C_ETV4	12543	0.62981	4169	0.62572	4206	-0.02007	1.05485E-40
NFIX_MA0671.1	NFIX	MA0671.1	C_NFIA	18139	0.30857	2211	0.31711	2361	-0.0899	7.66874E-111
CTCF_MA0139.1	CTCF	MA0139.1	C_CTCF	36257	0.49841	10022	0.49131	9790	0.03554	1.85584E-81
TGIF1_MA0796.1	TGIF1	MA0796.1	C_PKNOX2	14288	0.27438	1353	0.27852	1423	-0.02915	1.36463E-63
NR4A1_MA1112.1	NR4A1	MA1112.1	C_NR2F2	15483	0.25628	1287	0.25854	1317	-0.03052	1.65008E-64
HES5_MA0821.1	HES5	MA0821.1	C_HES5	5627	0.38785	1024	0.38612	1005	0.0016	5.76803E-02
Hoxa9_MA0594.1	Hoxa9	MA0594.1	C_Hoxa9	11280	0.23846	797	0.23792	821	0.01752	5.06659E-35
Rfx1_MA0509.1	Rfx1	MA0509.1	C_RFX2	20405	0.37991	3555	0.38423	3694	-0.05574	2.68813E-91
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	13026	0.34344	1812	0.34509	1859	-0.02806	4.48245E-61
Prrx2_MA0075.2	Prrx2	MA0075.2	C_GSX2	7479	0.27043	631	0.26646	614	0.0425	3.43479E-60
Hoxd8_MA0910.1	Hoxd8	MA0910.1	C_Hoxd8	13875	0.19919	630	0.19616	618	0.06264	2.93662E-83
STAT1_MA0137.3	STAT1	MA0137.3	C_Stat4	29870	0.30053	3464	0.30038	3539	0.00591	1.17033E-15
NFATC3_MA0625.1	NFATC3	MA0625.1	C_NFAT5	28138	0.28542	3085	0.2927	3322	-0.07046	5.46230E-112
JUNJUNB_MA1132.1	JUN::JUNB	MA1132.1	C_FOSL1::JUN	25041	0.37965	4456	0.39831	4867	-0.15967	2.08586E-143
SP2_MA0516.1	SP2	MA0516.1	C_SP2	76317	0.59045	24353	0.58168	24292	0.02743	2.73099E-88
Atf3_MA0605.1	Atf3	MA0605.1	C_Atf3	7123	0.46249	1589	0.46135	1598	-0.01575	3.24365E-26
SPI1_MA0080.4	SPI1	MA0080.4	C_SPI1	34501	0.2864	3390	0.29437	3553	-0.11872	7.03905E-134
TBX21_MA0690.1	TBX21	MA0690.1	C_TBX21	13051	0.2647	1202	0.26886	1287	-0.0492	2.04091E-77
JUN_MA0488.1	JUN	MA0488.1	C_FOSL2::JUND(var.2)	22574	0.35577	3435	0.36094	3601	-0.05467	6.51198E-86
Myog_MA0500.1	Myog	MA0500.1	C_Myod1	35013	0.34489	5285	0.34386	5325	0.01466	8.77963E-43
MYB_MA0100.3	MYB	MA0100.3	C_MYB	14516	0.29046	1551	0.29081	1585	-0.01693	3.86635E-38
ALX3_MA0634.1	ALX3	MA0634.1	C_GSX2	8754	0.23066	551	0.2269	547	0.05688	1.60474E-78
ZBTB33_MA0527.1	ZBTB33	MA0527.1	C_ZBTB33	5193	0.6571	1922	0.6333	1862	0.12804	7.09244E-96
ONECUT3_MA0757.1	ONECUT3	MA0757.1	C_ONECUT3	12542	0.19754	580	0.19439	579	0.04608	1.11388E-69
NRL_MA0842.1	NRL	MA0842.1	C_Mafb	17956	0.28417	1800	0.29022	1899	-0.06094	8.33841E-92
Arid5a_MA0602.1	Arid5a	MA0602.1	C_Arid5a	9080	0.19928	420	0.19994	440	0.00137	9.19870E-01
MEOX1_MA0661.1	MEOX1	MA0661.1	C_HOXB3	7406	0.22688	477	0.22329	465	0.0538	8.17859E-73
Mecom_MA0029.1	Mecom	MA0029.1	C_Mecom	16620	0.22365	989	0.22525	1029	-0.00481	6.35083E-11
GATA6_MA1104.1	GATA6	MA1104.1	C_GATA6	19717	0.22937	1258	0.23157	1311	-0.01423	2.44884E-38
LHX2_MA0700.1	LHX2	MA0700.1	C_GSX2	7004	0.25537	546	0.25111	522	0.04755	3.32536E-64
KLF16_MA0741.1	KLF16	MA0741.1	C_SP3	50286	0.54248	14394	0.53654	14360	0.00599	2.94990E-25
Ddit3Cebpa_MA0019.1	Ddit3::Cebpa	MA0019.1	C_Ddit3::Cebpa	7837	0.28838	850	0.29028	869	-0.02548	1.60800E-42
Hmx1_MA0896.1	Hmx1	MA0896.1	C_Hmx3	9379	0.24145	686	0.23791	675	0.04474	8.11512E-66
SOX8_MA0868.1	SOX8	MA0868.1	C_SOX8	16306	0.2406	1168	0.24116	1206	-0.00062	2.00287E-01
Crem_MA0609.1	Crem	MA0609.1	C_Crem	4734	0.5856	1443	0.58153	1428	-0.01739	2.03550E-29
FOSBJUN_MA1127.1	FOSB::JUN	MA1127.1	C_FOSL2::JUND(var.2)	12421	0.44131	2642	0.44475	2692	-0.04022	4.29084E-65
PHOX2A_MA0713.1	PHOX2A	MA0713.1	C_PHOX2A	10630	0.21123	582	0.2067	558	0.06797	3.72736E-87
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	17207	0.30294	1988	0.30316	2027	-0.00378	4.38033E-03
SIX1_MA1118.1	SIX1	MA1118.1	C_SIX2	13720	0.27363	1327	0.2739	1349	-0.00738	1.23382E-14
YY2_MA0748.1	YY2	MA0748.1	C_YY2	5947	0.5569	1847	0.54176	1800	0.07061	3.33431E-79
TCF4_MA0830.1	TCF4	MA0830.1	C_SNAI2	13119	0.27728	1288	0.27453	1301	0.02725	1.89522E-48
Id2_MA0617.1	Id2	MA0617.1	C_MNT	8961	0.42071	1816	0.4231	1833	-0.04899	2.63911E-65
JDP2var.2_MA0656.1	JDP2(var.2)	MA0656.1	C_FOSL2::JUND(var.2)	11977	0.45344	2642	0.45648	2710	-0.04051	1.81499E-69
MEIS3_MA0775.1	MEIS3	MA0775.1	C_MEIS3	21486	0.30822	2501	0.31045	2567	-0.0252	4.75504E-64
ELF4_MA0641.1	ELF4	MA0641.1	C_ELF1	18117	0.49824	4438	0.50066	4510	-0.0592	1.12045E-91
Tcf7_MA0769.1	Tcf7	MA0769.1	C_LEF1	24467	0.24035	1786	0.23626	1793	0.06113	5.34947E-100
ERG_MA0474.2	ERG	MA0474.2	C_ETV4	15456	0.53152	4127	0.53251	4233	-0.04425	4.14167E-74
GATA5_MA0766.1	GATA5	MA0766.1	C_GATA6	13456	0.23944	942	0.24271	995	-0.02488	1.48067E-49
PAX9_MA0781.1	PAX9	MA0781.1	C_PAX9	6879	0.37319	1138	0.37156	1152	0.00433	3.33009E-04
FOXP2_MA0593.1	FOXP2	MA0593.1	C_FOXP3	34606	0.24584	2701	0.24549	2764	0.01046	1.01732E-33
Rarbvar.2_MA0858.1	Rarb(var.2)	MA0858.1	C_Rarb(var.2)	15999	0.28339	1645	0.28521	1710	-0.02461	1.73435E-54
Gfi1_MA0038.1	Gfi1	MA0038.1	C_Gfi1	18022	0.3185	2113	0.31852	2148	0.00176	6.58038E-05
PpargRxra_MA0065.2	Pparg::Rxra	MA0065.2	C_Pparg::Rxra	34082	0.29896	3914	0.3005	3995	-0.01707	1.64769E-60
BSX_MA0876.1	BSX	MA0876.1	C_Dlx3	7425	0.27555	663	0.27139	639	0.03641	8.94477E-56
PBX1_MA0070.1	PBX1	MA0070.1	C_PBX1	9350	0.29179	903	0.2885	901	0.03217	1.56428E-55
TBX2_MA0688.1	TBX2	MA0688.1	C_TBX21	12418	0.25863	1068	0.2612	1124	-0.03584	6.43533E-60
HSF1_MA0486.2	HSF1	MA0486.2	C_HSF2	16077	0.27425	1547	0.27503	1575	-0.00393	2.51551E-06
BHLHE40_MA0464.2	BHLHE40	MA0464.2	C_USF2	5859	0.47216	1389	0.47185	1396	-0.02451	1.21584E-31
Sox11_MA0869.1	Sox11	MA0869.1	C_SOX4	17174	0.23784	1181	0.23707	1231	0.01197	3.26065E-33
HES7_MA0822.1	HES7	MA0822.1	C_HES5	5162	0.41187	1012	0.40909	1006	0.0077	1.46487E-05
ZBTB7B_MA0694.1	ZBTB7B	MA0694.1	C_ZBTB7B	7936	0.36976	1314	0.36369	1302	0.0384	1.65546E-56
STAT1STAT2_MA0517.1	STAT1::STAT2	MA0517.1	C_STAT1::STAT2	52765	0.25429	4414	0.25538	4480	-0.01473	1.32847E-61
FOXP1_MA0481.2	FOXP1	MA0481.2	C_FOXP3	25424	0.25714	2153	0.2585	2223	-0.01514	6.64845E-40
REST_MA0138.2	REST	MA0138.2	C_REST	24635	0.34463	3643	0.34505	3772	-0.00908	4.79975E-29
NR1H4_MA1110.1	NR1H4	MA1110.1	C_NR1H4	12815	0.2837	1294	0.28576	1329	-0.02029	1.05639E-41
RARA_MA0729.1	RARA	MA0729.1	C_RARA	15175	0.26452	1303	0.266	1355	-0.01864	9.51734E-42
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	15582	0.26346	1370	0.26389	1375	-0.00744	1.25631E-16
TP63_MA0525.2	TP63	MA0525.2	C_TP63	7015	0.30638	788	0.31066	812	-0.05677	1.19272E-68
CREB3_MA0638.1	CREB3	MA0638.1	C_CREB3	6560	0.51166	1629	0.50864	1652	-0.00044	3.69839E-01
FOXK2_MA1103.1	FOXK2	MA1103.1	C_FOXP3	19086	0.24684	1512	0.24774	1563	-0.00792	3.84396E-16
OTX2_MA0712.1	OTX2	MA0712.1	C_OTX1	6940	0.24885	557	0.24819	555	2e-05	4.28643E-01
SMAD3_MA0795.1	SMAD3	MA0795.1	C_SMAD3	6821	0.30385	827	0.30867	851	-0.06352	1.33936E-73
HOXC13_MA0907.1	HOXC13	MA0907.1	C_HOXC13	9015	0.23928	646	0.23993	668	-0.00456	9.21780E-05
LHX6_MA0658.1	LHX6	MA0658.1	C_HOXB3	5680	0.22048	333	0.21625	320	0.07486	2.21037E-77
PPARG_MA0066.1	PPARG	MA0066.1	C_PPARG	13733	0.29283	1479	0.29662	1528	-0.04342	8.26389E-75
HNF4G_MA0484.1	HNF4G	MA0484.1	C_HNF4G	28157	0.28343	2881	0.28511	2971	-0.01417	4.02448E-39
ETV5_MA0765.1	ETV5	MA0765.1	C_ETV4	9509	0.7114	3690	0.70316	3707	0.00352	6.66145E-04
E2F1_MA0024.3	E2F1	MA0024.3	C_E2F1	2428	0.51712	643	0.50767	652	0.02434	2.16471E-24
Hmx3_MA0898.1	Hmx3	MA0898.1	C_Hmx3	11864	0.22084	703	0.21846	713	0.03732	1.28465E-66
mix-a_MA0621.1	mix-a	MA0621.1	C_HOXB3	7654	0.20266	363	0.19736	353	0.08604	6.85672E-89
FOSL2_MA0478.1	FOSL2	MA0478.1	C_FOSL1::JUN	34373	0.36802	5837	0.38604	6435	-0.15476	2.85015E-145
NFIC_MA0161.2	NFIC	MA0161.2	C_NFIA	27372	0.31735	3541	0.32479	3774	-0.06718	6.56342E-106
MLXIPL_MA0664.1	MLXIPL	MA0664.1	C_USF2	5629	0.4616	1286	0.46254	1289	-0.04598	1.26728E-57
ERF_MA0760.1	ERF	MA0760.1	C_ETV4	17185	0.48289	4002	0.48564	4120	-0.05437	1.57194E-90
RARAvar.2_MA0730.1	RARA(var.2)	MA0730.1	C_Rarb(var.2)	16389	0.29923	1873	0.30121	1938	-0.0262	4.97997E-49
MAFGNFE2L1_MA0089.1	MAFG::NFE2L1	MA0089.1	C_MAFG::NFE2L1	29711	0.29724	3410	0.30266	3557	-0.05679	3.14196E-99
NKX2-8_MA0673.1	NKX2-8	MA0673.1	C_NKX2-3	12682	0.27736	1260	0.28049	1302	-0.02719	6.85079E-51
Ar_MA0007.3	Ar	MA0007.3	C_NR3C1	9086	0.28842	911	0.29152	968	-0.03626	2.28533E-56
OLIG2_MA0678.1	OLIG2	MA0678.1	C_Atoh1	4835	0.22604	294	0.22636	299	-0.0141	2.01684E-18
Nobox_MA0125.1	Nobox	MA0125.1	C_GBX2	8148	0.2612	672	0.25862	663	0.03544	2.90438E-51
IRF2_MA0051.1	IRF2	MA0051.1	C_IRF2	21334	0.26567	1928	0.26505	1964	0.01066	1.80469E-29
FOSL1JUND_MA1142.1	FOSL1::JUND	MA1142.1	C_FOSL1::JUN	29720	0.36814	5072	0.38642	5582	-0.1542	3.20624E-141
TCF7L1_MA1421.1	TCF7L1	MA1421.1	C_LEF1	24272	0.2456	1840	0.24316	1867	0.04145	2.91517E-85
SHOX_MA0630.1	SHOX	MA0630.1	C_GSX2	6526	0.25248	487	0.24653	465	0.07089	3.12545E-80
KLF9_MA1107.1	KLF9	MA1107.1	C_KLF9	46714	0.38969	8020	0.39213	8191	-0.04829	4.35618E-102
RXRG_MA0856.1	RXRG	MA0856.1	C_Nr2f6	15595	0.26859	1457	0.26941	1467	-0.01207	1.84000E-23
SRY_MA0084.1	SRY	MA0084.1	C_SRY	19369	0.22112	1171	0.21705	1172	0.05988	1.69989E-95
HEY2_MA0649.1	HEY2	MA0649.1	C_HEY1	6314	0.45448	1453	0.45002	1437	0.01266	1.86411E-14
ESRRB_MA0141.3	ESRRB	MA0141.3	C_Esrrg	15663	0.2543	1310	0.257	1357	-0.03477	1.05050E-67
ARNTHIF1A_MA0259.1	ARNT::HIF1A	MA0259.1	C_HIF1A	3817	0.41304	740	0.41018	737	0.02926	1.29537E-33
Atf1_MA0604.1	Atf1	MA0604.1	C_Crem	4476	0.53399	1220	0.53074	1215	-0.01902	1.39648E-19
Hic1_MA0739.1	Hic1	MA0739.1	C_Hic1	16701	0.30247	1954	0.30936	2067	-0.06777	2.94788E-94
TFAP2Avar.2_MA0810.1	TFAP2A(var.2)	MA0810.1	C_TFAP2A(var.2)	18031	0.44015	3864	0.43335	3807	0.03344	8.29007E-63
FOXD2_MA0847.1	FOXD2	MA0847.1	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
Bach1Mafk_MA0591.1	Bach1::Mafk	MA0591.1	C_BACH2	27574	0.36837	4658	0.37973	4915	-0.10426	1.83503E-122
PKNOX2_MA0783.1	PKNOX2	MA0783.1	C_PKNOX2	15531	0.27606	1492	0.28013	1559	-0.03665	4.42485E-70
POU5F1_MA1115.1	POU5F1	MA1115.1	C_POU5F1	16772	0.23895	1186	0.23973	1216	-0.00471	5.40820E-11
HSF4_MA0771.1	HSF4	MA0771.1	C_HSF2	16323	0.28307	1660	0.28429	1683	-0.01009	4.38630E-27
PAX5_MA0014.3	PAX5	MA0014.3	C_PAX5	8721	0.51253	2214	0.50834	2210	0.00203	7.82394E-03
TEAD3_MA0808.1	TEAD3	MA0808.1	C_TEAD2	15755	0.28702	1694	0.29173	1746	-0.03695	5.66335E-72
EMX2_MA0886.1	EMX2	MA0886.1	C_HOXB3	5533	0.22956	356	0.22392	333	0.07635	3.74719E-79
FOSJUN_MA0099.3	FOS::JUN	MA0099.3	C_FOSL1::JUN	29812	0.38142	5395	0.40133	5932	-0.16804	6.44987E-145
