Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tgif disruption of Shh signaling WP3674	1/9	0.13554041174126277	0.8341525775475531	0	0	7.683984375	15.356330906109797	SMAD2
Folate-Alcohol and Cancer Pathway Hypotheses WP1589	1/9	0.13554041174126277	0.8341525775475531	0	0	7.683984375	15.356330906109797	ALDH1A1
Heme Biosynthesis WP561	1/9	0.13554041174126277	0.8341525775475531	0	0	7.683984375	15.356330906109797	UROS
Vitamin D-sensitive calcium signaling in depression WP4698	2/41	0.14027787096377578	0.8341525775475531	0	0	3.157302467647295	6.201352593254972	GRIN2A;ITPR2
Common Pathways Underlying Drug Addiction WP2636	2/42	0.1458086126349971	0.8341525775475531	0	0	3.0782131661442005	5.926977522099257	GRIN2A;PRKCA
Renin-angiotensin-aldosterone system (RAAS) WP4756	2/44	0.15700027873351435	0.8341525775475531	0	0	2.9313330347813107	5.427385680069366	ITPR2;CAMK1G
Translation inhibitors in chronically activated PDGFRA cells WP4566	2/46	0.16834701578273015	0.8341525775475531	0	0	2.7978056426332287	4.984928259786595	PRKCA;MAP2K6
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ WP3849	1/12	0.17651975479014048	0.8341525775475531	0	0	5.5875	9.690526877759437	MAP2K6
Exercise-induced Circadian Regulation WP410	2/48	0.17982769335489737	0.8341525775475531	0	0	2.675889328063241	4.591173559828235	NR1D2;ETV6
Rett syndrome causing genes WP4312	2/48	0.17982769335489737	0.8341525775475531	0	0	2.675889328063241	4.591173559828235	GRIN2A;TRRAP
EDA signaling in hair follicle development WP3930	1/13	0.18974452878390632	0.8341525775475531	0	0	5.121614583333334	8.512516249643383	EDAR
Ganglio Sphingolipid Metabolism WP1423	1/13	0.18974452878390632	0.8341525775475531	0	0	5.121614583333334	8.512516249643383	ST8SIA1
COVID-19 adverse outcome pathway WP4891	1/15	0.2155622551741702	0.8341525775475531	0	0	4.389508928571429	6.735725698711653	IL2RA
Fatty Acid Omega Oxidation WP206	1/15	0.2155622551741702	0.8341525775475531	0	0	4.389508928571429	6.735725698711653	ALDH1A1
FOXP3 in COVID-19 WP5063	1/15	0.2155622551741702	0.8341525775475531	0	0	4.389508928571429	6.735725698711653	IL2RA
Phytochemical activity on NRF2 transcriptional activation WP3	1/15	0.2155622551741702	0.8341525775475531	0	0	4.389508928571429	6.735725698711653	PRKCA
Cardiac Hypertrophic Response WP2795	2/55	0.22078686001729775	0.8341525775475531	0	0	2.321641923463654	3.5069735667326354	PRKCA;MAP2K6
Pathogenic Escherichia coli infection WP2272	2/55	0.22078686001729775	0.8341525775475531	0	0	2.321641923463654	3.5069735667326354	PRKCA;EZR
Hedgehog Signaling Pathway Netpath WP47	1/16	0.2281619127144715	0.8341525775475531	0	0	4.096666666666667	6.053643344298631	SAP18
Genes related to primary cilium development (based on CRISPR) WP4536	3/103	0.22947139769436728	0.8341525775475531	0	0	1.8470754716981133	2.718852401094545	TCTN1;CEP83;IFT57
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	1/17	0.24055981447115551	0.8341525775475531	0	0	3.8404296875	5.4717924172657	WNT2
Canonical and non-canonical TGF-B signaling WP3874	1/17	0.24055981447115551	0.8341525775475531	0	0	3.8404296875	5.4717924172657	SMAD2
Glycosaminoglycan degradation WP4815	1/17	0.24055981447115551	0.8341525775475531	0	0	3.8404296875	5.4717924172657	GALNS
miR-509-3p alteration of YAP1/ECM axis WP3967	1/17	0.24055981447115551	0.8341525775475531	0	0	3.8404296875	5.4717924172657	TWIST1
Nephrogenesis WP5052	1/17	0.24055981447115551	0.8341525775475531	0	0	3.8404296875	5.4717924172657	TCF21
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	1/18	0.2527591811644756	0.8341525775475531	0	0	3.6143382352941176	4.970864782447624	MAP2K6
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	1/18	0.2527591811644756	0.8341525775475531	0	0	3.6143382352941176	4.970864782447624	SMAD2
Epithelial to mesenchymal transition in colorectal cancer WP4239	4/160	0.2558938393469726	0.8341525775475531	0	0	1.579147456119065	2.1523663136767404	SMAD2;TWIST1;WNT2;MAP2K6
TYROBP causal network in microglia WP3945	2/61	0.2564419211563802	0.8341525775475531	0	0	2.0849051591307584	2.837249582813952	IGSF6;RGS1
Apoptosis Modulation by HSP70 WP384	1/19	0.26476318225204515	0.8341525775475531	0	0	3.4133680555555554	4.536091384791552	CASP6
Genotoxicity pathway WP4286	2/63	0.26836443741048094	0.8341525775475531	0	0	2.0163420525206845	2.6523152514605832	FBXO22;E2F7
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657	1/20	0.2765749367576415	0.8341525775475531	0	0	3.2335526315789473	4.155999429725275	ETV6
Imatinib and Chronic Myeloid Leukemia WP3640	1/20	0.2765749367576415	0.8341525775475531	0	0	3.2335526315789473	4.155999429725275	SPRED2
Nanomaterial induced apoptosis WP2507	1/20	0.2765749367576415	0.8341525775475531	0	0	3.2335526315789473	4.155999429725275	CASP6
Thyroid stimulating hormone (TSH) signaling pathway WP2032	2/66	0.2862387808934937	0.8341525775475531	0	0	1.921532131661442	2.4037001108744214	PLD1;MAP2K6
Globo Sphingolipid Metabolism WP1424	1/21	0.2881975140351023	0.8341525775475531	0	0	3.07171875	3.8215536220730826	ST8SIA1
Transcription factor regulation in adipogenesis WP3599	1/22	0.29963393464526916	0.8341525775475531	0	0	2.925297619047619	3.52555045781868	TWIST1
Vitamin D in inflammatory diseases WP4482	1/22	0.29963393464526916	0.8341525775475531	0	0	2.925297619047619	3.52555045781868	MAP2K6
Glycerolipids and Glycerophospholipids WP4722	1/22	0.29963393464526916	0.8341525775475531	0	0	2.925297619047619	3.52555045781868	PLD1
Kynurenine Pathway and links to Cellular Senescence WP5044	1/23	0.3108871710333594	0.8341525775475531	0	0	2.7921875	3.2621830940201098	EIF2AK4
NRF2-ARE regulation WP4357	1/23	0.3108871710333594	0.8341525775475531	0	0	2.7921875	3.2621830940201098	PRKCA
Non-small cell lung cancer WP4255	2/72	0.32181364356054654	0.8341525775475531	0	0	1.7562919838781907	1.9912533755851867	PRKCA;STK4
IL-7 signaling pathway WP205	1/25	0.33285574508838284	0.8341525775475531	0	0	2.5592447916666665	2.815287202859766	IL2RA
MTHFR deficiency WP4288	1/25	0.33285574508838284	0.8341525775475531	0	0	2.5592447916666665	2.815287202859766	GRIN2A
Peptide GPCRs WP24	2/74	0.3335832450257812	0.8341525775475531	0	0	1.7073319400905609	1.8744162831831304	MC3R;CCR4
Ciliopathies WP4803	4/183	0.33848631853511557	0.8341525775475531	0	0	1.3746188957228205	1.4890856179327632	INVS;TCTN1;CEP83;IFT57
Ras signaling WP4223	4/184	0.34212583136109015	0.8341525775475531	0	0	1.366912022432527	1.4661179611035942	GRIN2A;PRKCA;PLD1;STK4
Joubert Syndrome WP4656	2/76	0.34529340212578125	0.8341525775475531	0	0	1.6610183851563163	1.7662618096646008	INVS;TCTN1
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	1/27	0.35412608298985837	0.8341525775475531	0	0	2.3621394230769233	2.4521422797262566	PRKCA
TGF-beta Signaling Pathway WP366	3/132	0.35573358858257187	0.8341525775475531	0	0	1.4297206377065965	1.4777208988194228	SMAD2;LIMK2;MAP2K6
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	1/28	0.3645063550840892	0.8341525775475531	0	0	2.274537037037037	2.2954884632430774	IL2RA
Selective expression of chemokine receptors during T-cell polarization WP4494	1/29	0.37472030986379	0.8341525775475531	0	0	2.1931919642857145	2.152783217448483	CCR4
T-Cell Receptor and Co-stimulatory Signaling WP2583	1/29	0.37472030986379	0.8341525775475531	0	0	2.1931919642857145	2.152783217448483	PRKCA
Gastric Cancer Network 1 WP2361	1/29	0.37472030986379	0.8341525775475531	0	0	2.1931919642857145	2.152783217448483	E2F7
PDGFR-beta pathway WP3972	1/29	0.37472030986379	0.8341525775475531	0	0	2.1931919642857145	2.152783217448483	PRKCA
Glioblastoma signaling pathways WP2261	2/82	0.37998869965374593	0.8341525775475531	0	0	1.5359717868338558	1.4862274427583309	PRKCA;MAP2K6
Cell migration and invasion through p75NTR WP4561	1/30	0.3847706040277038	0.8341525775475531	0	0	2.117456896551724	2.0223999283160023	TWIST1
Dopaminergic Neurogenesis WP2855	1/30	0.3847706040277038	0.8341525775475531	0	0	2.117456896551724	2.0223999283160023	ALDH1A1
Extracellular vesicle-mediated signaling in recipient cells WP2870	1/30	0.3847706040277038	0.8341525775475531	0	0	2.117456896551724	2.0223999283160023	SMAD2
Inflammatory Response Pathway WP453	1/30	0.3847706040277038	0.8341525775475531	0	0	2.117456896551724	2.0223999283160023	IL2RA
Alzheimer's disease WP2059	2/83	0.3856984847878613	0.8341525775475531	0	0	1.516931769805333	1.4451798993300575	GRIN2A;ITPR2
Ethanol effects on histone modifications WP3996	1/31	0.39465985186779434	0.8341525775475531	0	0	2.0467708333333334	1.9029463337262085	ALDH1A1
Endoderm differentiation WP2853	3/141	0.39493699704691543	0.8341525775475531	0	0	1.335862729012852	1.2410552526090772	SMAD2;HNF1B;TRERF1
Hair Follicle Development: Organogenesis - Part 2 of 3 WP2839	1/32	0.40439062603703163	0.8341525775475531	0	0	1.9806451612903226	1.7932245768647472	EDAR
Signal transduction through IL1R WP4496	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	MAP2K6
Alpha 6 Beta 4 signaling pathway WP244	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	PRKCA
Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	P4HA2
Disruption of postsynaptic signaling by CNV WP4875	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	GRIN2A
Endothelin Pathways WP2197	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	PRKCA
Fluoropyrimidine Activity WP1601	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	UPP2
MAPK Cascade WP422	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	MAP2K6
Regucalcin in proximal tubule epithelial kidney cells WP4838	1/33	0.4139654582637829	0.8341525775475531	0	0	1.91865234375	1.692199070064404	SMAD2
Pancreatic adenocarcinoma pathway WP4263	2/89	0.4194508716243442	0.8341525775475531	0	0	1.4118833999927936	1.226656823684009	SMAD2;PLD1
p38 MAPK Signaling Pathway WP400	1/34	0.42338683986243963	0.8341525775475531	0	0	1.8604166666666666	1.598970457308756	MAP2K6
Amino Acid metabolism WP3925	2/91	0.4304930188670365	0.8341525775475531	0	0	1.38001479342045	1.1631098250362832	P4HA2;ALDH1A1
Calcium Regulation in the Cardiac Cell WP536	3/150	0.4334946240660684	0.8341525775475531	0	0	1.2534976254652805	1.047768435865578	RGS1;ITPR2;PRKCA
G Protein Signaling Pathways WP35	2/93	0.44142306503209694	0.8341525775475531	0	0	1.3495470047194185	1.1035941309672526	PRKCA;AKAP5
Target Of Rapamycin (TOR) Signaling WP1471	1/36	0.4417790190857962	0.8341525775475531	0	0	1.7539285714285715	1.432864016468471	PRKCA
Host-pathogen interaction of human coronaviruses - MAPK signaling WP4877	1/36	0.4417790190857962	0.8341525775475531	0	0	1.7539285714285715	1.432864016468471	MAP2K6
Hepatitis B infection WP4666	3/152	0.4419454720917677	0.8341525775475531	0	0	1.2365455236165632	1.0097244582861433	SMAD2;PRKCA;MAP2K6
Type II interferon signaling (IFNG) WP619	1/37	0.4507546035527954	0.8341525775475531	0	0	1.7051215277777778	1.3586957448203962	CIITA
Melatonin metabolism and effects WP3298	1/37	0.4507546035527954	0.8341525775475531	0	0	1.7051215277777778	1.3586957448203962	PRKCA
Neovascularisation processes WP4331	1/37	0.4507546035527954	0.8341525775475531	0	0	1.7051215277777778	1.3586957448203962	SMAD2
Overview of interferons-mediated signaling pathway WP4558	1/37	0.4507546035527954	0.8341525775475531	0	0	1.7051215277777778	1.3586957448203962	PRKCA
Myometrial relaxation and contraction pathways WP289	3/156	0.4586976146492261	0.8341525775475531	0	0	1.2039708965347145	0.9383316672759907	RGS1;ITPR2;PRKCA
Amyotrophic lateral sclerosis (ALS) WP2447	1/38	0.45958631247133996	0.8341525775475531	0	0	1.6589527027027027	1.2897171358601984	MAP2K6
Striated Muscle Contraction Pathway WP383	1/38	0.45958631247133996	0.8341525775475531	0	0	1.6589527027027027	1.2897171358601984	TPM2
Nuclear receptors WP170	1/38	0.45958631247133996	0.8341525775475531	0	0	1.6589527027027027	1.2897171358601984	NR1D2
Parkinson's disease pathway WP2371	1/38	0.45958631247133996	0.8341525775475531	0	0	1.6589527027027027	1.2897171358601984	CASP6
Pathways Regulating Hippo Signaling WP4540	2/98	0.46823195768612036	0.8341525775475531	0	0	1.2789315569487982	0.9704423558324503	SMAD2;PRKCA
Kisspeptin/kisspeptin receptor system in the ovary WP4871	1/39	0.4682764448842479	0.8341525775475531	0	0	1.6152138157894738	1.2254570094457813	PRKCA
Bladder cancer WP2828	1/40	0.4768272634730828	0.8341525775475531	0	0	1.5737179487179487	1.1654970625593666	DAPK2
Glycogen Synthesis and Degradation WP500	1/40	0.4768272634730828	0.8341525775475531	0	0	1.5737179487179487	1.1654970625593666	GBE1
Neural Crest Cell Migration during Development WP4564	1/40	0.4768272634730828	0.8341525775475531	0	0	1.5737179487179487	1.1654970625593666	TWIST1
Wnt signaling pathway and pluripotency WP399	2/102	0.4891204550808044	0.8341525775475531	0	0	1.2275235109717868	0.8778591307951907	PRKCA;WNT2
Tryptophan metabolism WP465	1/42	0.4935198295463599	0.8341525775475531	0	0	1.496798780487805	1.0570276828200609	ALDH1A1
DNA Replication WP466	1/42	0.4935198295463599	0.8341525775475531	0	0	1.496798780487805	1.0570276828200609	PRIM2
Fas ligand pathway and stress induction of heat shock proteins WP314	1/42	0.4935198295463599	0.8341525775475531	0	0	1.496798780487805	1.0570276828200609	CASP6
IL-2 signaling pathway WP49	1/42	0.4935198295463599	0.8341525775475531	0	0	1.496798780487805	1.0570276828200609	IL2RA
Vitamin A and carotenoid metabolism WP716	1/43	0.5016659242270266	0.8341525775475531	0	0	1.4610863095238096	1.0078878297864124	ALDH1A1
Genes controlling nephrogenesis WP4823	1/43	0.5016659242270266	0.8341525775475531	0	0	1.4610863095238096	1.0078878297864124	TCF21
Neural Crest Cell Migration in Cancer WP4565	1/43	0.5016659242270266	0.8341525775475531	0	0	1.4610863095238096	1.0078878297864124	TWIST1
Integrated Cancer Pathway WP1971	1/44	0.5096814004288195	0.8341525775475531	0	0	1.4270348837209301	0.9617779207279423	SMAD2
Prostaglandin Synthesis and Regulation WP98	1/45	0.517568346162428	0.8341525775475531	0	0	1.39453125	0.9184573761257117	PTGFRN
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	1/46	0.5253288161041162	0.8341525775475531	0	0	1.3634722222222222	0.8777091953585396	CH25H
Envelope proteins and their potential roles in EDMD physiopathology WP4535	1/46	0.5253288161041162	0.8341525775475531	0	0	1.3634722222222222	0.8777091953585396	SMAD2
Oxysterols derived from cholesterol WP4545	1/46	0.5253288161041162	0.8341525775475531	0	0	1.3634722222222222	0.8777091953585396	CH25H
Regulation of Microtubule Cytoskeleton WP2038	1/46	0.5253288161041162	0.8341525775475531	0	0	1.3634722222222222	0.8777091953585396	PRKCA
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	1/47	0.5329648321525606	0.8341525775475531	0	0	1.3337635869565216	0.8393372091289145	IL2RA
NO/cGMP/PKG mediated Neuroprotection WP4008	1/47	0.5329648321525606	0.8341525775475531	0	0	1.3337635869565216	0.8393372091289145	GRIN2A
Differentiation Pathway WP2848	1/48	0.5404783840288744	0.8341525775475531	0	0	1.3053191489361702	0.8031637015426144	WNT2
Structural Pathway of Interleukin 1 (IL-1) WP2637	1/49	0.5478714298422859	0.8341525775475531	0	0	1.2780598958333333	0.7690273458218475	MAP2K6
Synaptic signaling pathways associated with autism spectrum disorder WP4539	1/50	0.5551458962416416	0.8341525775475531	0	0	1.2519132653061225	0.7367814077584223	GRIN2A
Photodynamic therapy-induced AP-1 survival signaling. WP3611	1/50	0.5551458962416416	0.8341525775475531	0	0	1.2519132653061225	0.7367814077584223	MAP2K6
ESC Pluripotency Pathways WP3931	2/116	0.5580313963946693	0.8341525775475531	0	0	1.0760050596711215	0.627676847722744	WNT2;MAP2K6
Synaptic Vesicle Pathway WP2267	1/51	0.562303679332361	0.8341525775475531	0	0	1.2268125	0.7062921751327234	RIMS1
Spinal Cord Injury WP2431	2/118	0.5673218223565727	0.8341525775475531	0	0	1.0573451518754728	0.5993334175329963	PRKCA;CSPG4
Osteoblast differentiation WP4787	2/118	0.5673218223565727	0.8341525775475531	0	0	1.0573451518754728	0.5993334175329963	PRKCA;WNT2
Wnt Signaling Pathway WP363	1/52	0.5693466450586382	0.8341525775475531	0	0	1.2026960784313725	0.6774375835971777	PRKCA
Netrin-UNC5B signaling pathway WP4747	1/52	0.5693466450586382	0.8341525775475531	0	0	1.2026960784313725	0.6774375835971777	PRKCA
One-carbon metabolism and related pathways WP3940	1/52	0.5693466450586382	0.8341525775475531	0	0	1.2026960784313725	0.6774375835971777	PLD1
Phosphodiesterases in neuronal function WP4222	1/53	0.576276629430123	0.8341525775475531	0	0	1.1795072115384615	0.6501060105213499	GRIN2A
TGF-beta Receptor Signaling WP560	1/54	0.5830954393359884	0.8341525775475531	0	0	1.1571933962264151	0.6241952121147483	SMAD2
Interferon type I signaling pathways WP585	1/54	0.5830954393359884	0.8341525775475531	0	0	1.1571933962264151	0.6241952121147483	MAP2K6
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	1/55	0.5898048528114012	0.8341525775475531	0	0	1.1357060185185186	0.5996113866784938	SMAD2
Hematopoietic Stem Cell Differentiation WP2849	1/55	0.5898048528114012	0.8341525775475531	0	0	1.1357060185185186	0.5996113866784938	CIITA
IL-1 signaling pathway WP195	1/55	0.5898048528114012	0.8341525775475531	0	0	1.1357060185185186	0.5996113866784938	MAP2K6
RANKL/RANK signaling pathway WP2018	1/55	0.5898048528114012	0.8341525775475531	0	0	1.1357060185185186	0.5996113866784938	MAP2K6
TGF-beta receptor signaling in skeletal dysplasias WP4816	1/58	0.609294072370884	0.8556044420527307	0	0	1.0757675438596492	0.5329936020086309	SMAD2
Kit receptor signaling pathway WP304	1/59	0.6155831202109533	0.8583482943786531	0	0	1.057165948275862	0.5129213750719667	PRKCA
Endochondral Ossification with Skeletal Dysplasias WP4808	1/64	0.6455464274887084	0.8815047768466501	0	0	0.973015873015873	0.4258483234359159	DDR2
Endochondral Ossification WP474	1/64	0.6455464274887084	0.8815047768466501	0	0	0.973015873015873	0.4258483234359159	DDR2
G1 to S cell cycle control WP45	1/64	0.6455464274887084	0.8815047768466501	0	0	0.973015873015873	0.4258483234359159	PRIM2
Oncostatin M Signaling Pathway WP2374	1/65	0.6512536490996002	0.8832070035734304	0	0	0.957763671875	0.4107427764787186	PRKCA
p53 transcriptional gene network WP4963	1/67	0.6623947182417779	0.8874539056640418	0	0	0.9286458333333333	0.38250332148835636	TP53INP1
Melanoma WP4685	1/68	0.6678314744643546	0.8874539056640418	0	0	0.9147388059701492	0.36929782112199727	GRIN2A
RAC1/PAK1/p38/MMP2 Pathway WP3303	1/68	0.6678314744643546	0.8874539056640418	0	0	0.9147388059701492	0.36929782112199727	TNIP1
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	1/71	0.6836235990817637	0.8915348277894253	0	0	0.8754017857142857	0.33295714906114837	PRKCA
Mesodermal commitment pathway WP2857	2/147	0.6861628038832196	0.8915348277894253	0	0	0.8446222030050805	0.3181188071983769	SMAD2;TRERF1
MECP2 and Associated Rett Syndrome WP3584	1/72	0.6887195086584185	0.8915348277894253	0	0	0.8630281690140845	0.32184149183141186	RBFOX1
Chromosomal and microsatellite instability in colorectal cancer  WP4216	1/73	0.6937335889804042	0.8915348277894253	0	0	0.8509982638888889	0.3111822116969913	SMAD2
Integrated breast cancer pathway WP1984	2/152	0.7037169287316216	0.8915348277894253	0	0	0.8162591431556949	0.2868163978270153	EDAR;SMAD2
Regulatory circuits of the STAT3 signaling pathway WP4538	1/78	0.7176216754718034	0.8915348277894253	0	0	0.7955357142857142	0.263968903570892	IL2RA
Insulin Signaling WP481	2/160	0.7301011495869819	0.8915348277894253	0	0	0.7746121185667235	0.2436714331410358	PRKCA;MAP2K6
Apoptosis WP254	1/84	0.7438478609531428	0.8915348277894253	0	0	0.7378012048192771	0.21832921251102821	CASP6
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	1/84	0.7438478609531428	0.8915348277894253	0	0	0.7378012048192771	0.21832921251102821	PRKCA
MicroRNAs in cardiomyocyte hypertrophy WP1544	1/84	0.7438478609531428	0.8915348277894253	0	0	0.7378012048192771	0.21832921251102821	MAP2K6
Pyrimidine metabolism WP4022	1/85	0.7479764190430828	0.8915348277894253	0	0	0.7289806547619048	0.21168419222797083	PRIM2
Acute viral myocarditis WP4298	1/86	0.752038638132311	0.8915348277894253	0	0	0.7203676470588235	0.20528142210826134	CASP6
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	1/86	0.752038638132311	0.8915348277894253	0	0	0.7203676470588235	0.20528142210826134	WNT2
MAPK Signaling Pathway WP382	3/246	0.7583917160195354	0.8915348277894253	0	0	0.7545616895721717	0.20867799750819216	PRKCA;STK4;MAP2K6
Allograft Rejection WP2328	1/89	0.7638378036185771	0.8915348277894253	0	0	0.695703125	0.1874222905838459	IL2RA
Androgen receptor signaling pathway WP138	1/90	0.7676451250936388	0.8915348277894253	0	0	0.6878511235955056	0.18188691072655494	LIMK2
Apoptosis Modulation and Signaling WP1772	1/90	0.7676451250936388	0.8915348277894253	0	0	0.6878511235955056	0.18188691072655494	CASP6
ErbB signaling pathway WP673	1/91	0.7713912540049518	0.8915348277894253	0	0	0.6801736111111111	0.17654557076890684	PRKCA
GPCRs, Other WP117	1/91	0.7713912540049518	0.8915348277894253	0	0	0.6801736111111111	0.17654557076890684	UTS2R
TNF-alpha signaling pathway WP231	1/92	0.7750771707075521	0.8915348277894253	0	0	0.6726648351648352	0.1713900757433135	MAP2K6
Corticotropin-releasing hormone signaling pathway WP2355	1/93	0.7787038401060181	0.8915348277894253	0	0	0.6653192934782609	0.1664126456281477	PRKCA
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	1/94	0.7822722116248806	0.8915348277894253	0	0	0.6581317204301075	0.16160589079555157	WNT2
GPCRs, Class A Rhodopsin-like WP455	3/257	0.783863080046284	0.8915348277894253	0	0	0.7214752637052444	0.17569431758064752	MC3R;GPR25;CCR4
Thyroid hormones production and their peripheral downstream signaling effects WP4746	1/95	0.7857832193604252	0.8915348277894253	0	0	0.6510970744680851	0.15696278899597066	ITPR2
B Cell Receptor Signaling Pathway WP23	1/97	0.7926368065888049	0.8915348277894253	0	0	0.6374674479166667	0.14814116318412793	MAP2K6
Complement system WP2806	1/97	0.7926368065888049	0.8915348277894253	0	0	0.6374674479166667	0.14814116318412793	PRKCA
Integrin-mediated Cell Adhesion WP185	1/101	0.8056950957811367	0.8915348277894253	0	0	0.61184375	0.13218878168955092	MAP2K6
Neural Crest Differentiation WP2064	1/101	0.8056950957811367	0.8915348277894253	0	0	0.61184375	0.13218878168955092	TWIST1
Toll-like Receptor Signaling Pathway WP75	1/103	0.8119134815146983	0.8915348277894253	0	0	0.5997855392156862	0.12497221124412629	MAP2K6
Electron Transport Chain (OXPHOS system in mitochondria) WP111	1/103	0.8119134815146983	0.8915348277894253	0	0	0.5997855392156862	0.12497221124412629	COX6A2
7q11.23 copy number variation syndrome WP4932	1/104	0.8149478712149874	0.8915348277894253	0	0	0.5939320388349515	0.12153698394490489	WNT2
IL-18 signaling pathway WP4754	3/272	0.8149889082317473	0.8915348277894253	0	0	0.6807182436697763	0.13926186609539282	IL2RA;PRKCA;PLD1
VEGFA-VEGFR2 Signaling Pathway WP3888	5/432	0.8260697616864416	0.8986912791973375	0	0	0.7133963774345596	0.13631296315432428	P4HA2;FAM120A;PRKCA;EZR;MAP2K6
DNA damage response (only ATM dependent) WP710	1/110	0.8321562777379887	0.9003658087001191	0	0	0.5610665137614679	0.1030875682380895	WNT2
Gastrin signaling pathway WP4659	1/114	0.8427326219112118	0.9068535822740212	0	0	0.5410951327433628	0.09258437800332632	PRKCA
Cell cycle WP179	1/120	0.8573642923864001	0.9176115129324715	0	0	0.5136554621848739	0.07904765750445453	SMAD2
Adipogenesis WP236	1/130	0.8787963369727143	0.9346032376275015	0	0	0.4735949612403101	0.06118946671252931	TWIST1
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	1/132	0.8826808355370848	0.9346032376275015	0	0	0.46631679389312974	0.05819241805974984	MAP2K6
Regulation of toll-like receptor signaling pathway WP1449	1/139	0.8953247564779483	0.9429484137374136	0	0	0.44250452898550724	0.04892718154413989	MAP2K6
Male infertility WP4673	1/146	0.9066097534948617	0.9471225903983662	0	0	0.4209913793103448	0.04127533451102978	TSSK6
Regulation of Actin Cytoskeleton WP51	1/150	0.912504906427001	0.9471225903983662	0	0	0.4096057046979866	0.03750424242565139	EZR
Breast cancer pathway WP4262	1/154	0.918029011032771	0.9471225903983662	0	0	0.3988153594771242	0.03410919666683758	WNT2
Nonalcoholic fatty liver disease WP4396	1/155	0.9193548224353467	0.9471225903983662	0	0	0.39620535714285715	0.03331418849767636	COX6A2
