Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA damage response (only ATM dependent) WP710	2/110	0.005879545684906245	0.015801279028185535	0	0	19.367446393762183	99.47654592043223	FOSL1;JUN
Gastrin signaling pathway WP4659	2/114	0.006301044116962985	0.01648378643649634	0	0	18.671992481203006	94.61173140892026	JUN;FOS
Wnt signaling WP428	2/115	0.0064085253462361855	0.01648378643649634	0	0	18.505822077317188	93.4567348841108	FOSL1;JUN
ESC Pluripotency Pathways WP3931	2/116	0.0065168458004752974	0.01648378643649634	0	0	18.342566943674978	92.3248306681389	JUN;FOS
Cell cycle WP179	2/120	0.006958485771979067	0.017262397395871147	0	0	17.71721677074041	88.01547235939115	TFDP1;E2F4
ApoE and miR-146 in inflammation and atherosclerosis WP3926	1/8	0.008370561681605555	0.020373631262775787	0	0	142.65714285714284	682.3340060288631	SPI1
Regulation of toll-like receptor signaling pathway WP1449	2/139	0.009235946032404834	0.022063648855189324	0	0	15.245485977718017	71.41979989339819	JUN;FOS
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380	2/144	0.009883677815701666	0.023181717058645725	0	0	14.704966641957006	67.890927985844	JUN;FOS
Hepatitis B infection WP4666	2/152	0.010961078665318402	0.025249627639751318	0	0	13.915087719298246	62.80442069816017	JUN;FOS
Breast cancer pathway WP4262	2/154	0.011238237593718888	0.025433906133153272	0	0	13.73060941828255	61.628923780572876	JUN;FOS
Myometrial relaxation and contraction pathways WP289	2/156	0.011518494030446988	0.025618719481511402	0	0	13.550922761449078	60.4886274353273	JUN;FOS
Insulin Signaling WP481	2/160	0.012088247758090193	0.02643023662362093	0	0	13.205196535642905	58.30782998101842	JUN;FOS
Serotonin and anxiety-related events WP3944	1/13	0.013568257886165577	0.02734851980180249	0	0	83.19583333333334	357.74392971285124	FOS
Mammary gland development pathway - Puberty (Stage 2 of 4) WP2814	1/13	0.013568257886165577	0.02734851980180249	0	0	83.19583333333334	357.74392971285124	FOSL1
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	1/13	0.013568257886165577	0.02734851980180249	0	0	83.19583333333334	357.74392971285124	JUN
Development of pulmonary dendritic cells and macrophage subsets WP3892	1/13	0.013568257886165577	0.02734851980180249	0	0	83.19583333333334	357.74392971285124	SPI1
Estrogen Receptor Pathway WP2881	1/13	0.013568257886165577	0.02734851980180249	0	0	83.19583333333334	357.74392971285124	JUN
Serotonin and anxiety WP3947	1/17	0.01770772695128657	0.03514302733409181	0	0	62.384375	251.6432336564321	FOS
Circadian rhythm related genes WP3594	2/201	0.01861567474753572	0.03555089507897128	0	0	10.46284051838138	41.681354776241754	JUN;JUND
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877	1/18	0.01874000670829494	0.03555089507897128	0	0	58.71176470588235	233.50224496360525	JUN
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement WP4560	1/18	0.01874000670829494	0.03555089507897128	0	0	58.71176470588235	233.50224496360525	JUN
Mitochondrial Gene Expression WP391	1/19	0.019771253405680735	0.036758758539978016	0	0	55.44722222222222	217.54863156976407	NRF1
BMP Signaling Pathway in Eyelid Development WP3927	1/20	0.020801468010995312	0.036758758539978016	0	0	52.526315789473685	203.4203291515269	JUN
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657	1/20	0.020801468010995312	0.036758758539978016	0	0	52.526315789473685	203.4203291515269	ETV6
Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206	1/20	0.020801468010995312	0.036758758539978016	0	0	52.526315789473685	203.4203291515269	NFE2L2
Hypertrophy Model WP516	1/20	0.020801468010995312	0.036758758539978016	0	0	52.526315789473685	203.4203291515269	JUND
Galanin receptor pathway WP4970	1/21	0.021830651495044692	0.038056135714334666	0	0	49.8975	190.8300081149324	FOS
Unfolded protein response WP4925	1/24	0.0249120249496479	0.04284868291339439	0	0	43.38260869565217	160.18614661402282	NFE2L2
Photodynamic therapy-induced unfolded protein response WP3613	1/27	0.027984153316513986	0.04749941812934611	0	0	38.371153846153845	137.21973105106596	NFE2L2
Cell migration and invasion through p75NTR WP4561	1/30	0.031047062800707417	0.05201391040637996	0	0	34.39655172413793	119.43346355828847	JUN
IL-18 signaling pathway WP4754	2/272	0.032648044956194715	0.05399484358139895	0	0	7.683820662768031	26.293806128352358	JUN;FOS
Signal transduction through IL1R WP4496	1/33	0.034100779588340006	0.05498750708619826	0	0	31.1671875	105.2963181340018	JUN
MAPK Cascade WP422	1/33	0.034100779588340006	0.05498750708619826	0	0	31.1671875	105.2963181340018	JUN
Type II interferon signaling (IFNG) WP619	1/37	0.03815814737853566	0.060770382862112345	0	0	27.698611111111113	90.46410657809346	SPI1
Sleep regulation WP3591	1/38	0.039169950302324785	0.06162101937804753	0	0	26.94864864864865	87.3094553625357	FOS
ATM Signaling Pathway WP2516	1/40	0.041190516066627526	0.06401899485054158	0	0	25.564102564102566	81.53791281942478	JUN
Vitamin D-sensitive calcium signaling in depression WP4698	1/41	0.04219928082733081	0.06480603841340088	0	0	24.92375	78.89244440466216	NFE2L2
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	1/42	0.04320703480196092	0.06481055220294138	0	0	24.314634146341465	76.39054934861029	JUN
Fas ligand pathway and stress induction of heat shock proteins WP314	1/42	0.04320703480196092	0.06481055220294138	0	0	24.314634146341465	76.39054934861029	JUN
IL-6 signaling pathway WP364	1/43	0.04421377893724838	0.06555836187247174	0	0	23.73452380952381	74.02130556201558	JUNB
Integrated Cancer Pathway WP1971	1/44	0.04521951420013217	0.06628769695246647	0	0	23.18139534883721	71.77485186614989	BACH1
Aryl Hydrocarbon Receptor Netpath WP2586	1/46	0.047227961937659255	0.0684540122467196	0	0	22.148888888888887	67.61544465949056	NFE2L2
Energy Metabolism WP1541	1/47	0.048230676330360274	0.0691306360735164	0	0	21.666304347826088	65.68703534573399	NRF1
Exercise-induced Circadian Regulation WP410	1/48	0.04923238567693172	0.06967815839613682	0	0	21.204255319148935	63.85033051565917	ETV6
Structural Pathway of Interleukin 1 (IL-1) WP2637	1/49	0.0502330909367498	0.06967815839613682	0	0	20.761458333333334	62.09920952085082	FOS
Hepatitis C and Hepatocellular Carcinoma WP3646	1/49	0.0502330909367498	0.06967815839613682	0	0	20.761458333333334	62.09920952085082	JUN
Copper homeostasis WP3286	1/52	0.05322919174316746	0.07227963931440634	0	0	19.537254901960786	57.30566631783699	JUN
Netrin-UNC5B signaling pathway WP4747	1/52	0.05322919174316746	0.07227963931440634	0	0	19.537254901960786	57.30566631783699	JUN
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	1/53	0.05422589020123468	0.0728660399579091	0	0	19.160576923076924	55.84535629343883	JUND
IL-4 signaling pathway WP395	1/54	0.05522158934050639	0.07325152953632004	0	0	18.79811320754717	54.4468793612393	FOS
IL-1 signaling pathway WP195	1/55	0.056216290109268874	0.07325152953632004	0	0	18.449074074074073	53.10655827493159	JUN
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	1/55	0.056216290109268874	0.07325152953632004	0	0	18.449074074074073	53.10655827493159	JUNB
Pre-implantation embryo WP3527	1/58	0.059194411708517525	0.07636079110398761	0	0	17.475438596491227	49.401809098663186	FOSB
MET in type 1 papillary renal cell carcinoma WP4205	1/59	0.06018512849852576	0.07687011461692894	0	0	17.173275862068966	48.26257221767156	JUN
TYROBP causal network in microglia WP3945	1/61	0.06216358214353192	0.07861864800505507	0	0	16.599166666666665	46.11225172844932	MAF
3q29 copy number variation syndrome WP4906	1/63	0.06413806885922127	0.07879819888418614	0	0	16.06209677419355	44.118037371464524	JUN
Lung fibrosis WP3624	1/63	0.06413806885922127	0.07879819888418614	0	0	16.06209677419355	44.118037371464524	NFE2L2
Endometrial cancer WP4155	1/63	0.06413806885922127	0.07879819888418614	0	0	16.06209677419355	44.118037371464524	FOS
G1 to S cell cycle control WP45	1/64	0.06512382696991614	0.07925446867093569	0	0	15.806349206349207	43.17448633216941	TFDP1
AGE/RAGE pathway WP2324	1/66	0.06709237742938731	0.08013811748510151	0	0	15.318461538461538	41.38565533533388	JUN
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	1/66	0.06709237742938731	0.08013811748510151	0	0	15.318461538461538	41.38565533533388	JUN
Melanoma WP4685	1/68	0.0690569798213239	0.08172798529312646	0	0	14.859701492537313	39.71735668720526	FOS
Glucocorticoid Receptor Pathway WP2880	1/70	0.07101764164383469	0.08328432520049703	0	0	14.427536231884059	38.15833677729338	JUN
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	1/71	0.07199649719355061	0.0836716048465588	0	0	14.220714285714285	37.41665905997103	JUN
Head and Neck Squamous Cell Carcinoma WP4674	1/73	0.07395126223609223	0.08517600739692766	0	0	13.824305555555556	36.00331664229168	NFE2L2
Apoptosis WP254	1/84	0.0846325675053562	0.09661593989549512	0	0	11.9855421686747	29.59753084206102	JUN
Retinoblastoma gene in cancer WP2446	1/87	0.08752522412551879	0.09904170098413968	0	0	11.565697674418605	28.17205314298374	TFDP1
Androgen receptor signaling pathway WP138	1/90	0.0904091737202407	0.10141550791227	0	0	11.174157303370787	26.856076236742414	JUN
ErbB signaling pathway WP673	1/91	0.09136855965464136	0.10160813961593737	0	0	11.049444444444445	26.43970563474231	JUN
TNF-alpha signaling pathway WP231	1/92	0.09232698183377033	0.1017964158680032	0	0	10.927472527472528	26.033816561078613	JUN
B Cell Receptor Signaling Pathway WP23	1/97	0.0971046684691041	0.10615679858063075	0	0	10.355729166666666	24.149206518519108	JUN
Senescence and Autophagy in Cancer WP615	1/105	0.104699185171912	0.11349743602669451	0	0	9.555288461538462	21.56307494222513	JUN
Spinal Cord Injury WP2431	1/118	0.1169106740435162	0.1256789745967799	0	0	8.488034188034188	18.218250634713392	FOS
Adipogenesis WP236	1/130	0.12804188810651945	0.13650746748546289	0	0	7.6937984496124034	15.813816543658696	E2F4
Male infertility WP4673	1/146	0.14267578418707755	0.14937221365585984	0	0	6.839310344827586	13.31737150611854	NFE2L2
NRF2 pathway WP2884	1/146	0.14267578418707755	0.14937221365585984	0	0	6.839310344827586	13.31737150611854	NFE2L2
Mesodermal commitment pathway WP2857	1/147	0.1435825929715242	0.14937221365585984	0	0	6.792123287671233	13.182457493775674	NFE2L2
Nonalcoholic fatty liver disease WP4396	1/155	0.15080425005911374	0.1556299860610054	0	0	6.436688311688312	12.17675084276717	JUN
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	1/158	0.15349738949805034	0.1571520892480039	0	0	6.312738853503185	11.83052535242725	JUN
Vitamin D Receptor Pathway WP2877	1/182	0.17475157962504162	0.17750357300496353	0	0	5.469060773480663	9.540174149145807	JUNB
Focal Adhesion WP306	1/198	0.1886376234670404	0.19011135490037667	0	0	5.020812182741117	8.374350413278753	JUN
VEGFA-VEGFR2 Signaling Pathway WP3888	1/432	0.3679594126463775	0.3679594126463775	0	0	2.267749419953596	2.2672564988047057	JUN
